# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-03 22:14:45.053039'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_foodon
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_foodon_training
#   testing_set_collection: ont_foodon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
RolledOats_cooked_	rolled oats (cooked)	Rolled oats which are cooked		[{'predicate': 'subClassOf', 'target': 'RolledOats'}]		FOODON:00004362		0.0	0.0	0.0	0.0	0.0	0	0	0	1
RyeKernel_cooked_	rye kernel (cooked)			[{'predicate': 'subClassOf', 'target': 'RyeKernel'}]		FOODON:00004380	A rye kernel that has been cooked for consumption.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
AsparagusBean_raw_	asparagus bean (raw)			[{'predicate': 'subClassOf', 'target': 'AsparagusBean'}]		FOODON:00004350	Raw form of the asparagus bean (Vigna unguiculata subsp. sesquipedalis).	0.0	0.0	0.0	0.0	0.0	0	0	1	0
HickoryNutFoodProduct	hickory nut food product	A food product which derives from a hickory cultivar (Carya) nut.		[{'predicate': 'subClassOf', 'target': 'NutFoodProduct'}]		FOODON:00004435	A hickory nut food product is a subclass of NutFoodProduct that derives from the edible seeds (nuts) of hickory trees	0.0	0.0	0.0	0.0	0.0	0	0	1	1
PinkShrimp_raw_	pink shrimp (raw)			[{'predicate': 'subClassOf', 'target': 'Shrimp_raw_'}]		FOODON:00004419		0.0	0.0	0.0	0.0	0.0	0	0	0	0
DragonFruit	dragon fruit	A fruit from the dragon fruit cactus (Selenicereus undatus).		[{'predicate': 'InTaxon', 'target': 'SelenicereusUndatus'}, {'predicate': 'subClassOf', 'target': 'PitayaFruit'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'BerryFruit'}, {'predicate': 'InTaxon', 'target': 'SelenicereusUndatus'}]	FOODON:00004385	A berry fruit from a dragon fruit plant (Selenicereus Undatus), which is a type of Pitaya fruit	0.0	0.0	0.0	0.0	0.0	0	0	1	1
WildBoarMeat_ground_	wild boar meat (ground)	Wild boar meat which is ground.		[{'predicate': 'subClassOf', 'target': 'WildBoarFoodProduct'}]		FOODON:00004425	Wild boar meat (ground) is a type of food product that comes from the wild boar, a type of wild swine native to various parts of the world. This meat is in ground form, meaning it has been minced or finely chopped. It is often used in cooking, similar to other ground meats. It is a particular kind of product or preparation made from wild boar, used in a range of dishes from pasta sauces to burgers. It needs to be properly cooked before consumption to eliminate potential health risks.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
IvyGourd_frozenRaw_	ivy gourd (frozen raw)			[{'predicate': 'subClassOf', 'target': 'IvyGourdFoodProduct'}]		FOODON:00004407		0.0	0.0	0.0	0.0	0.0	0	0	0	0
DurumWheatKernel_raw_	durum wheat kernel (raw)	A durum wheat kernel which is raw (not dried).		[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'DurumWheatKernel'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'DurumWheatKernel'}, {'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}]	FOODON:00004364	A whole raw durum wheat kernel.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MafurraNutFoodProduct	mafurra nut food product	A food product derived from a mafurra (Trichilia emetica) nut.		[{'predicate': 'subClassOf', 'target': 'NutFoodProduct'}]		FOODON:00004431		0.0	0.0	0.0	0.0	0.0	0	0	0	1
DuckEgg	duck egg			[{'predicate': 'InTaxon', 'target': 'Duck'}, {'predicate': 'subClassOf', 'target': 'DuckEggFoodProduct'}, {'predicate': 'subClassOf', 'target': 'ShelledEgg'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'ShelledEgg'}, {'predicate': 'InTaxon', 'target': 'Duck'}]	FOODON:00004428	A type of egg produced by ducks. It is a sub-category of a shelled egg and falls under the DuckEggFoodProduct category. Its source is represented by the species known as Duck.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
PlantPiece	plant piece	An anatomical or other piece derived from a plant.		[{'predicate': 'subClassOf', 'target': 'OrganismPiece'}, {'predicate': 'subClassOf', 'target': 'PlantMaterial'}]		FOODON:00004333	A plant piece is a part derived or taken from an organism which in this particular context is a plant. Such items would typically stem from parts of a plant such as leaves, stems, roots, flowers, or seeds. It is a subclass of both OrganismPiece and PlantMaterial.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
GreenAcornSquash_raw_	green acorn squash (raw)	A whole green acorn squash which is raw.		[{'predicate': 'subClassOf', 'target': 'GreenAcornSquash'}]		FOODON:00004443	A whole raw green acorn squash.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
GreenAcornSquash	green acorn squash	A whole acorn squash which has a green skin.		[{'predicate': 'subClassOf', 'target': 'AcornSquash'}]		FOODON:00004442	A variety of acorn squash recognized by its distinct green exterior and acorn-like shape, known for its sweet, somewhat nutty flavor and high nutritional values including dietary fiber, vitamins A, C and B6, magnesium, potassium and iron.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
CanolaStraw	canola straw	A straw of a canola plant (Brassica napus var. napus).		[{'predicate': 'subClassOf', 'target': 'Straw'}]		FOODON:00004430	A straw of canola plant, derived after harvesting canola and primarily used for animal feed, biofuel production, and gardening. It is a subclass of Straw.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
WingedBeanLeaf	winged bean leaf	A leaf of a winged bean plant (Psophocarpus tetragonolobus).		[{'predicate': 'InTaxon', 'target': 'PsophocarpusTetragonolobus'}, {'predicate': 'subClassOf', 'target': 'WingedBeanFoodProduct'}, {'predicate': 'subClassOf', 'target': 'BeanLeaf'}, {'predicate': 'subClassOf', 'target': 'RosetteLeaf'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'RosetteLeaf'}, {'predicate': 'InTaxon', 'target': 'PsophocarpusTetragonolobus'}]	FOODON:00004390	A rosette leaf of a winged bean plant.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AmericanBeautyberry_raw_	american beautyberry (raw)			[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'AmericanBeautyberry'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'AmericanBeautyberry'}, {'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}]	FOODON:00004397	A raw American beautyberry.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
GoldenAcornSquash_raw_	golden acorn squash (raw)	A whole golden acorn squash which is raw.		[{'predicate': 'subClassOf', 'target': 'GreenAcornSquash'}, {'predicate': 'subClassOf', 'target': 'GoldenAcornSquash'}]		FOODON:00004445	A whole raw Golden Acorn Squash, a variant of the acorn squash family with a unique golden shade. Known for its hard, dense texture, it is typically used in baking or roasting. It is rich in nutrients, featuring a sweet, nutty flavor and a tough skin that softens when cooked. It can be used in both sweet and savory dishes and is often stored for long-term use.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Potato_withSkin_boiled_	potato (with skin, boiled)	A boiled whole potato.		[{'predicate': 'subClassOf', 'target': 'PotatoFoodProduct'}]		FOODON:00004345		0.0	0.0	0.0	0.0	0.0	0	0	0	1
GoatFoodProduct	goat food product	A food product made from one or more goats.		[{'predicate': 'subClassOf', 'target': 'MammalianMeatFoodProduct'}]		FOODON:00004420		0.0	0.0	0.0	0.0	0.0	0	0	0	1
RedHickoryNut	red hickory nut	A whole hickory nut from a red hickory tree (Carya ovalis)		[{'predicate': 'InTaxon', 'target': 'CaryaOvalis'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaOvalis'}]	FOODON:00004450	A specialized type of Hickory Nut, unique to the Carya Ovalis species, distinguished by its red coloration.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
HempSeed_raw_	hemp seed (raw)			[{'predicate': 'subClassOf', 'target': 'HempSeed'}]		FOODON:00004401	Hemp seed (raw) is a specific type of hemp seed derived from the hemp plant that belongs to the Cannabis family. It is a nutrient-dense food with a rich profile of proteins, fibre, and healthy fats, and is replete with essential nutrients like vitamins E and B, and various minerals. They are consumed raw or can be included in various recipes and are known to boost heart health, aid digestion, and promote skin health. They are also pressed to produce hemp seed oil for various uses including culinary and skincare applications.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
PecanNutFoodProduct	pecan nut food product	A food product which derives from a pecan cultivar (Carya illinoinensis) nut.		[{'predicate': 'subClassOf', 'target': 'HickoryNutFoodProduct'}]		FOODON:00002107	A pecan nut food product is a specific type of food item that is derived from or contains pecans as its primary ingredient. It is a subclass of Hickory Nut food product	0.0	0.0	0.0	0.0	0.0	0	0	1	1
BerryJuice	berry juice			[{'predicate': 'subClassOf', 'target': 'FruitJuiceFoodProduct'}, {'predicate': 'subClassOf', 'target': 'BerryFoodProduct'}]		FOODON:00001641		0.0	0.0	0.0	0.0	0.0	0	0	0	0
BlackBeautyberry_raw_	black beautyberry (raw)			[{'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}, {'predicate': 'subClassOf', 'target': 'BlackBeautyberry'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'BlackBeautyberry'}, {'predicate': 'HasQuality_RO:0000086', 'target': 'Raw'}]	FOODON:00004395	A whole raw BlackBeautyberry.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
HempSeed_dehulled_raw_	hemp seed (dehulled, raw)			[{'predicate': 'subClassOf', 'target': 'HempFoodProduct'}]		FOODON:00004400		0.0	0.0	0.0	0.0	0.0	0	0	0	0
PinkShrimp_cooked_	pink shrimp (cooked)	Pink shrimp (Pandalus borealis) which have been cooked.		[{'predicate': 'subClassOf', 'target': 'Shrimp_cooked_'}]		FOODON:00004418		0.0	0.0	0.0	0.0	0.0	0	0	0	1
PlantMaterial	plant material	Anatomical or other piece(s) or substance derived from one or more plants.		[{'predicate': 'subClassOf', 'target': 'OrganismMaterial'}]		FOODON:00004331	Substances or materials derived from plants, including leaves, branches, roots, flowers, seeds, fruits, and cellular or molecular components.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
WildBoarMeat_raw_	wild boar meat (raw)	Wild boar meat which is raw.		[{'predicate': 'subClassOf', 'target': 'WildBoarFoodProduct'}]		FOODON:00004424	Wild boar meat (raw) is a specific food product that comes from wild boars, primarily found in woodlands across Europe, Asia, and North America. The meat is darker in color and has a rich, gamey flavor and lean texture. It encompasses all parts of the animal and can be used in diverse recipes. It needs to be properly handled and cooked to kill possible bacteria or parasites. It serves as an effective method of population control for boar species and contributes to the economy of hunting.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
AnimalOrgan	animal organ			[{'predicate': 'subClassOf', 'target': 'AnimalPiece'}]		FOODON:00004436		0.0	0.0	0.0	0.0	0.0	0	0	0	0
MexicanHickoryNut	mexican hickory nut	A whole hickory nut from a mexican hickory tree (Carya palmeri)		[{'predicate': 'InTaxon', 'target': 'CaryaPalmeri'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaPalmeri'}]	FOODON:00004452	A specific variety of Hickory Nut, grows on the Carya Palmeri (Palmer Hickory Tree), found predominantly in Mexico.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
BabyArugulaGreens	baby arugula greens	A bunch of baby arugula leaves (immature leaves)		[{'predicate': 'subClassOf', 'target': 'ArugulaGreensBunch'}]		FOODON:00004437	Baby arugula greens are a type of ArugulaGreensBunch, harvested when the plant is young. They are small yet flavorful and nutritious.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
RiceKernelWithHusk	rice kernel with husk	A rice kernel which is attached to its husk.		[{'predicate': 'subClassOf', 'target': 'RiceFoodProduct'}]		FOODON:00004329	A part of the rice plant that is the fundamental unit of rice before it undergoes processing stages. It includes all components of the rice grain: the hull, bran, germ, and endosperm. It is a subclass of 'RiceFoodProduct'	0.0	0.0	0.0	0.0	0.0	0	0	1	1
SweetPotato_cooked_	sweet potato (cooked)	A sweet potato that has been cooked.		[{'predicate': 'subClassOf', 'target': 'SweetPotato'}]		FOODON:00004429	A sweet potato that has undergone a certain cooking process. It's a subclass of sweet potato.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MexicanGreySquash_raw_	mexican grey squash (raw)	A whole Mexican grey squash which is raw.		[{'predicate': 'subClassOf', 'target': 'MexicanGreySquash'}]		FOODON:00004447	A whole raw Mexican Grey Squash. It is round or oblong in shape, with a grey-green, smooth, and thin but firm skin that is edible. It tastes slightly crunchier and sweeter than other squashes, contributing to a slightly nutty and sweet flavor. It can be served in salads or other raw food preparations, and is rich in vitamins and minerals such as Vitamin A, Vitamin C, magnesium, and potassium. The high fiber content aids in digestion, and it is also low in calories and high in water content.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MalnutritionSupplementFoodProduct	malnutrition supplement food product	A food supplement food product designed to alleviate malnutrition.		[{'predicate': 'subClassOf', 'target': 'FoodSupplementFoodProduct'}]		FOODON:03603000		0.0	0.0	0.0	0.0	0.0	0	0	0	1
DuckEggYolk_raw_	duck egg yolk (raw)			[{'predicate': 'subClassOf', 'target': 'DuckEggFoodProduct'}]		FOODON:00004427	A duck egg yolk (raw) is a part of a duck egg, specifically the central yellow portion. It is a food product derived from ducks and it's a subclass of DuckEggFoodProduct. The duck egg yolk, like all egg yolks, is where a large portion of the egg’s nutrients are contained. It holds significant levels of Vitamin A, Vitamin D, Vitamin B12, iron, and protein. Often used in a similar manner as chicken egg yolks, they are a popular ingredient in many kinds of dishes including desserts, sauces, and main courses. The yolk tends to have a rich, creamy texture, and a deeper color than its chicken counterpart. Despite being highly nutritious, the yolk is also high in cholesterol, therefore, it should be consumed in moderation. It often comes packaged raw which requires careful handling and storage to prevent the risk of salmonella contamination.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
Parsnip_peeled_	parsnip (peeled)	A parsnip which has been peeled.		[{'predicate': 'subClassOf', 'target': 'ParsnipFoodProduct'}]		FOODON:00004370		0.0	0.0	0.0	0.0	0.0	0	0	0	1
GreenCardamomSeed_dried_	green cardamom seed (dried)			[{'predicate': 'subClassOf', 'target': 'CardamomFoodProduct'}]		FOODON:00004454	The dried version of green cardamom seed used for adding aromatic flavor in various cuisines.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
CommonMillet_cooked_	common millet (cooked)	Common millet which is cooked.		[{'predicate': 'subClassOf', 'target': 'CommonMilletFoodProduct'}]		FOODON:00004438		0.0	0.0	0.0	0.0	0.0	0	0	0	1
